portfolio_id,portfolio_name,ticker,model_name,signal_source,strategy_name,label_mode,label_version,decision_id,signal_id,transaction_id,action,decision_timestamp_utc,market_date,execution_date,execution_price,previous_close,open,high,low,close,volume,quantity,shares_before,shares_after,cash_before,cash_after,position_value_before,position_value_after,portfolio_value_before,portfolio_value_after,weight_target,weight_actual_before,weight_actual,score,confidence,probability_up,threshold_used,rsi,macd,macd_signal,macd_hist,bb_upper,bb_lower,bb_middle,sma20,sma50,return_1d_after,return_5d_after,return_20d_after,trade_pnl_abs,trade_pnl_pct,holding_period_days,hit,reason,triggered_rules,data_version,strategy_version,generated_at_utc,cumulative_pnl,drawdown_after_trade,max_drawdown_to_date
ml_lightgbm,ML – LightGBM,PG,lightgbm,lightgbm,lightgbm,binary,binary-2026-05,D-ml_lightgbm-0597fdb4a09c,S-PG-lightgbm-20230613-cb1b7e,T-ml_lightgbm-d008d8f84fe6,BUY,2026-05-17T18:43:33Z,2023-06-13,2023-06-13,144.51,145.41,144.51,145.68,144.28,145.06,5321200,138.0,0.0,138.0,100000.0,80057.62,0.0,19942.38,100000.0,100075.9,0.2,0.0,0.1993,65.28,0.3057,0.6528,0.55,34.77,,,,154.7826,139.7384,147.2605,147.2605,,0.009375,0.030194,0.026816,,,,,prob_above_buy_threshold,prob_above_buy_threshold,2026-05-15,1.0,2026-05-17T18:43:33Z,0.0,0.0,0.0
ml_lightgbm,ML – LightGBM,NEE,lightgbm,lightgbm,lightgbm,binary,binary-2026-05,D-ml_lightgbm-b34622533903,S-NEE-lightgbm-20230614-6ede47,T-ml_lightgbm-9afb6ac35284,BUY,2026-05-17T18:43:33Z,2023-06-14,2023-06-14,74.9,74.35,74.9,74.95,73.29,73.4,8893600,267.0,0.0,267.0,80057.62,60059.32,0.0,19998.3,100263.58,99863.08,0.2,0.0,0.2003,58.63,0.1727,0.5863,0.55,41.58,,,,75.344,72.657,74.0005,74.0005,,0.013079,0.023569,-0.002725,,,,,prob_above_buy_threshold,prob_above_buy_threshold,2026-05-15,1.0,2026-05-17T18:43:33Z,0.0,0.0,0.0
ml_lightgbm,ML – LightGBM,PG,lightgbm,lightgbm,lightgbm,binary,binary-2026-05,D-ml_lightgbm-d50e448aed54,S-PG-lightgbm-20230616-9b9993,T-ml_lightgbm-4f7e1d456788,SELL,2026-05-17T18:43:33Z,2023-06-16,2023-06-16,148.92,148.45,148.92,150.09,148.9,149.54,11244900,138.0,138.0,0.0,60059.32,80610.28,20550.96,0.0,100878.37,100792.81,0.2,0.2037,0.0,44.77,0.1046,0.4477,0.55,54.42,,,,151.0354,141.5916,146.3135,146.3135,,-0.009228,-0.006219,-0.001805,608.58,0.030517,3,True,prob_below_sell_threshold,prob_below_sell_threshold,2026-05-15,1.0,2026-05-17T18:43:33Z,608.58,0.0,0.0
ml_lightgbm,ML – LightGBM,NEE,lightgbm,lightgbm,lightgbm,binary,binary-2026-05,D-ml_lightgbm-95327db466b4,S-NEE-lightgbm-20230616-eee601,T-ml_lightgbm-42e36f295b46,SELL,2026-05-17T18:43:33Z,2023-06-16,2023-06-16,74.75,74.36,74.75,76.42,74.72,75.59,23053600,267.0,267.0,0.0,80610.28,100568.53,19958.25,0.0,100878.37,100568.53,0.2,0.1978,0.0,41.05,0.179,0.4105,0.55,58.23,,,,75.2925,72.6595,73.976,73.976,,-0.01098,-0.017198,-0.046832,-40.05,-0.002003,2,False,prob_below_sell_threshold,prob_below_sell_threshold,2026-05-15,1.0,2026-05-17T18:43:33Z,568.53,-0.065809,-0.065809
ml_lightgbm,ML – LightGBM,DUK,lightgbm,lightgbm,lightgbm,binary,binary-2026-05,D-ml_lightgbm-da6342b95a58,S-DUK-lightgbm-20230623-6e9ded,T-ml_lightgbm-16bb0e869fd9,BUY,2026-05-17T18:43:33Z,2023-06-23,2023-06-23,91.2,90.9,91.2,91.55,89.54,89.72,3800200,220.0,0.0,220.0,100568.53,80504.53,0.0,20064.0,100568.53,100242.93,0.2,0.0,0.2002,59.26,0.1852,0.5926,0.55,40.91,-0.3028,,,92.9273,87.8507,90.389,90.389,,0.012483,0.000223,0.056286,,,,,prob_above_buy_threshold,prob_above_buy_threshold,2026-05-15,1.0,2026-05-17T18:43:33Z,568.53,-0.065809,-0.065809
ml_lightgbm,ML – LightGBM,NEE,lightgbm,lightgbm,lightgbm,binary,binary-2026-05,D-ml_lightgbm-81060f17964a,S-NEE-lightgbm-20230628-fceb92,T-ml_lightgbm-27982f466cf4,BUY,2026-05-17T18:43:33Z,2023-06-28,2023-06-28,73.95,73.91,73.95,74.21,73.22,73.44,8735100,270.0,0.0,270.0,80504.53,60538.03,0.0,19966.5,100106.53,99968.83,0.2,0.0,0.1997,57.14,0.1428,0.5714,0.55,43.18,-0.1334,,,75.6442,72.7098,74.177,74.177,,-0.008578,-0.005719,-0.002315,,,,,prob_above_buy_threshold,prob_above_buy_threshold,2026-05-15,1.0,2026-05-17T18:43:33Z,568.53,-0.065809,-0.065809
ml_lightgbm,ML – LightGBM,JNJ,lightgbm,lightgbm,lightgbm,binary,binary-2026-05,D-ml_lightgbm-4e0538ae3c6e,S-JNJ-lightgbm-20230707-e942ab,T-ml_lightgbm-d59b558fc358,BUY,2026-05-17T18:43:33Z,2023-07-07,2023-07-07,160.47,161.6,160.47,161.04,159.2,159.25,7022200,124.0,0.0,124.0,60538.03,40639.75,0.0,19898.28,99740.93,99589.65,0.2,0.0,0.1998,60.28,0.2055,0.6028,0.55,40.39,0.7355,1.3486,-0.6131,166.6442,158.9608,162.8025,162.8025,,0.001633,0.003893,0.061476,,,,,prob_above_buy_threshold,prob_above_buy_threshold,2026-05-15,1.0,2026-05-17T18:43:33Z,568.53,-0.065809,-0.065809
ml_lightgbm,ML – LightGBM,PG,lightgbm,lightgbm,lightgbm,binary,binary-2026-05,D-ml_lightgbm-d6b7d4af96d0,S-PG-lightgbm-20230711-cfdb94,T-ml_lightgbm-bc7b4fc717a9,BUY,2026-05-17T18:43:33Z,2023-07-11,2023-07-11,148.73,148.86,148.73,149.05,146.96,148.08,5150300,134.0,0.0,134.0,40639.75,20709.93,0.0,19929.82,99794.77,99707.67,0.2,0.0,0.1999,55.64,0.1129,0.5564,0.55,44.6,0.231,0.2791,-0.0481,153.1473,145.1627,149.155,149.155,,0.0052,0.008036,0.060845,,,,,prob_above_buy_threshold,prob_above_buy_threshold,2026-05-15,1.0,2026-05-17T18:43:33Z,568.53,-0.065809,-0.065809
ml_lightgbm,ML – LightGBM,DUK,lightgbm,lightgbm,lightgbm,binary,binary-2026-05,D-ml_lightgbm-06772d416bd3,S-DUK-lightgbm-20230712-4ae88b,T-ml_lightgbm-33619d634180,SELL,2026-05-17T18:43:33Z,2023-07-12,2023-07-12,91.1,90.88,91.1,92.53,90.96,92.36,2566300,220.0,220.0,0.0,20709.93,40751.93,20042.0,0.0,100413.85,100136.65,0.2,0.1996,0.0,42.23,0.1553,0.4223,0.55,57.12,-0.1277,-0.305,0.1773,92.5757,88.7143,90.645,90.645,,0.010286,-0.007687,0.004981,-22.0,-0.001096,19,False,prob_below_sell_threshold,prob_below_sell_threshold,2026-05-15,1.0,2026-05-17T18:43:33Z,546.53,-0.101959,-0.101959
ml_lightgbm,ML – LightGBM,JNJ,lightgbm,lightgbm,lightgbm,binary,binary-2026-05,D-ml_lightgbm-a7f9adfc238d,S-JNJ-lightgbm-20230720-365fe4,T-ml_lightgbm-6d4ca367f836,SELL,2026-05-17T18:43:33Z,2023-07-20,2023-07-20,161.94,158.74,161.94,169.14,161.3,168.38,21892900,124.0,124.0,0.0,40751.93,60832.49,20080.56,0.0,101813.09,101014.53,0.2,0.1972,0.0,29.85,0.4029,0.2985,0.55,69.85,0.1459,-0.025,0.1709,167.7771,155.9989,161.888,161.888,,0.010749,0.031536,0.033436,182.28,0.009161,13,True,prob_below_sell_threshold,prob_below_sell_threshold,2026-05-15,1.0,2026-05-17T18:43:33Z,728.81,0.0,-0.101959
